Date,Close,Next_Close,Delta_Percent,Actual_Label,Predicted_Label,Correct
2024-03-01,177.8758087,173.3611298,-2.538107308124361,DOWN,DOWN,True
2024-03-04,173.3611298,168.4305267,-2.8441226160029243,DOWN,DOWN,True
2024-03-20,176.8956604,169.6681213,-4.085763937711612,DOWN,DOWN,True
2024-03-26,168.0246429,171.5888519,2.1212418241062694,UP,UP,True
2024-04-10,166.1137848,173.3016663,4.327083094671625,UP,UP,True
2024-04-12,174.7967072,170.9750214,-2.1863602931760395,DOWN,DOWN,True
2024-04-26,167.6186829,171.7769928,2.48081528148076,UP,UP,True
2024-05-01,167.6186829,171.3116455,2.2031927086571725,UP,UP,True
2024-05-02,171.3116455,181.5588531,5.981617636146047,UP,UP,True
2024-05-22,189.2605438,185.2750549,-2.105821329675376,DOWN,DOWN,True
2024-06-10,191.4614716,205.3710022,7.264924103926078,UP,UP,True
2024-06-11,205.3710022,211.2401428,2.857823420603636,UP,UP,True
2024-06-18,212.449646,207.8792572,-2.151280967538063,DOWN,DOWN,True
2024-06-28,208.8111725,214.8885193,2.9104509721576393,UP,UP,True
2024-07-03,219.6473389,224.3961639,2.1620225511414155,UP,UP,True
2024-07-10,230.9791565,225.6156158,-2.3220886166843315,DOWN,UP,False
2024-07-16,232.80336,226.9143829,-2.5295928289007534,DOWN,DOWN,True
2024-07-17,226.9143829,222.254715,-2.0534916475759406,DOWN,UP,False
2024-07-23,223.0775909,216.663147,-2.8754317608151925,DOWN,DOWN,True
2024-08-02,217.9718323,207.4727783,-4.816702180834951,DOWN,DOWN,True
2024-08-30,227.2961273,221.1124878,-2.720521274803083,DOWN,UP,False
2024-09-13,220.8444824,214.7104645,-2.7775282557840364,DOWN,DOWN,True
2024-09-18,219.0479431,227.167099,3.706565688358664,UP,UP,True
2024-09-27,226.0951233,231.2663574,2.287194002472318,UP,UP,True
2024-09-30,231.2663574,224.5268707,-2.9141664943264307,DOWN,DOWN,True
2024-10-04,225.1124878,220.0405121,-2.253085001888552,DOWN,DOWN,True
2024-10-22,234.1051025,229.0430145,-2.1623142537014926,DOWN,DOWN,True
2024-11-06,221.0628357,225.7874298,2.137217721395591,UP,UP,True
2024-12-17,251.8707886,246.4752502,-2.1421850584542113,DOWN,DOWN,True
2024-12-31,248.8302155,242.3019257,-2.62359206934819,DOWN,DOWN,True
2025-01-08,241.1591949,235.3463593,-2.4103727840070013,DOWN,DOWN,True
2025-01-15,236.3598785,226.8108978,-4.040017603918346,DOWN,DOWN,True
2025-01-17,228.5199585,221.2265625,-3.1915794348439817,DOWN,DOWN,True
2025-01-24,221.3656616,228.4007263,3.1780288998535413,UP,UP,True
2025-01-27,228.4007263,236.747406,3.654401557829026,UP,UP,True
2025-01-31,234.5017548,226.5625,-3.3855843879595513,DOWN,DOWN,True
2025-02-03,226.5625,231.3220673,2.100774532413787,UP,UP,True
2025-02-06,231.7394104,226.1848907,-2.396881777860943,DOWN,DOWN,True
2025-02-10,226.4534607,231.3973541,2.1831829748672096,UP,UP,True
2025-02-25,245.7415619,239.0966644,-2.704018583028297,DOWN,DOWN,True
2025-03-07,237.8134613,226.2843628,-4.8479587475732195,DOWN,DOWN,True
2025-03-10,226.2843628,219.6792755,-2.9189322754210254,DOWN,DOWN,True
2025-03-12,215.8395538,208.5779266,-3.3643635154697917,DOWN,UP,False
2025-03-27,222.6734467,216.7546997,-2.658038974882404,DOWN,DOWN,True
2025-04-02,222.7132416,202.1220245,-9.245618694277043,DOWN,DOWN,True
2025-04-03,202.1220245,187.3898926,-7.288731614698434,DOWN,UP,False
2025-04-04,187.3898926,180.5062714,-3.6734218182693983,DOWN,UP,False
2025-04-07,180.5062714,171.5137482,-4.981834221190386,DOWN,UP,False
2025-04-08,171.5137482,197.8048553,15.32886277392893,UP,UP,True
2025-04-09,197.8048553,189.4191437,-4.239386129972314,DOWN,UP,False
