cd C:\mlc\ml\mllll\ML_mini_project\projectPrice,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
4/26/2024,167.6186829,169.638417,167.4998643,168.1929247,44838400
4/29/2024,171.7769928,174.2818665,171.3809712,171.648279,68169400
4/30/2024,168.6384735,173.2521992,168.3117489,171.6086808,65934800
5/1/2024,167.6186829,170.9948217,167.4305673,167.895901,50383100
5/2/2024,171.3116455,171.6977718,169.1928984,170.7968054,94214900
5/3/2024,181.5588531,185.142898,180.8460023,184.7963678,163224100
5/6/2024,179.9054565,182.3707188,178.628259,180.5391001,78569700
5/7/2024,180.5885925,183.0637652,179.5193312,181.6281681,77305800
5/8/2024,180.9252167,181.2519413,179.6480192,181.0341249,45057100
5/9/2024,182.7370453,182.8261479,180.3014689,180.7469969,48983000
5/10/2024,181.4779663,183.5004401,180.5658691,183.3120694,50759500
5/13/2024,184.6802063,185.4931713,183.0344589,183.8474239,72044800
5/14/2024,185.8203278,186.6828664,184.6901188,185.8996425,52393600
5/15/2024,188.090683,189.0126889,185.7608588,186.2962297,70400000
5/16/2024,188.2096252,189.4588139,188.0311784,188.8342196,52845200
5/17/2024,188.2393951,189.1713249,187.5553184,187.8824862,41282900
5/20/2024,189.3993225,190.2717698,187.3867576,187.7040166,44361300
5/21/2024,190.6980896,191.0748158,189.2803627,189.4489009,42309400
5/22/2024,189.2605438,191.1640682,188.6359646,190.6187885,34648500
5/23/2024,185.2750549,189.359667,185.027202,189.3398345,51005900
5/24/2024,188.3484192,188.9432724,186.4250778,187.1983929,36327000
5/28/2024,188.3583679,191.3425125,187.4760119,189.8653032,52280100
5/29/2024,188.655777,190.5989511,187.8824769,187.9816241,53068000
5/30/2024,189.647171,190.529527,188.9928507,189.1217239,49889100
5/31/2024,190.5989532,190.9162123,188.2790528,189.795912,75158300
6/3/2024,192.3636627,193.3154249,190.8666361,191.2433624,50080500
6/4/2024,192.6809082,193.642579,191.3722372,192.968411,47471400
6/5/2024,194.1878662,195.2090194,193.1964542,193.7219014,54156800
6/6/2024,192.8097687,194.8124248,192.5024334,194.0093836,41181800
6/7/2024,195.1990967,195.2486703,192.4727138,192.9783285,53103900
6/10/2024,191.4614716,195.6055814,190.4998008,195.2090075,97010200
6/11/2024,205.3710022,205.380926,191.967122,191.9869394,172373300
6/12/2024,211.2401428,218.3088995,205.123118,205.5890828,198134300
6/13/2024,212.4001007,214.8885392,209.7827738,212.8958067,97862700
6/14/2024,210.6651306,213.3221074,209.485348,212.0134515,70122700
6/17/2024,214.8092194,217.0696373,210.8931453,211.537557,93728300
6/18/2024,212.449646,216.7523851,211.1707313,215.7213082,79943300
6/20/2024,207.8792572,212.4001085,207.0563986,212.0927581,86172500
6/21/2024,205.7080688,210.0702753,205.3313275,208.5831574,241805100
6/24/2024,206.3524933,210.8733296,204.8158017,205.9361021,80727000
6/25/2024,207.2745056,209.5646648,206.8184495,207.3538053,55549700
6/26/2024,211.4186096,213.0147835,208.8310237,209.6836386,66213200
6/27/2024,212.2613068,213.8872218,210.5263358,212.8462362,49772700
6/28/2024,208.8111725,214.2143795,208.4939285,213.9169529,82542700
7/1/2024,214.8885193,215.6419868,210.0999982,210.2685364,60402900
7/2/2024,218.3783112,218.4873671,213.2527133,214.2936837,58046200
7/3/2024,219.6473389,219.6473389,217.1489763,218.1106472,37369800
7/5/2024,224.3961639,224.5052199,219.7464397,219.7464397,60412400
7/8/2024,225.8634644,225.8932055,221.3327048,225.1397228,59085900
7/9/2024,226.7160645,227.4298822,224.4259054,225.9725055,48076100
7/10/2024,230.9791565,231.0783037,227.2811941,227.3307677,62627700
7/11/2024,225.6156158,230.3942134,223.8310714,229.4028015,64710600
7/12/2024,228.5601044,230.6420755,226.7160775,226.9540219,53046500
7/15/2024,232.3869476,235.1926452,231.0882004,234.4490862,62631300
7/16/2024,232.80336,234.2409043,230.3347388,232.9818069,43234300
7/17/2024,226.9143829,229.4722277,224.6936146,227.4794799,57345900
7/18/2024,222.254715,228.4609632,220.3611297,228.3023337,66034600
7/19/2024,222.3836212,224.8522425,221.3624681,222.889251,49151500
7/22/2024,222.0366364,225.8238223,221.1740976,225.0604308,48201800
7/23/2024,223.0775909,224.9910238,220.7675994,222.4430879,39960300
7/24/2024,216.663147,222.8693951,215.2652677,222.0762625,61777600
7/25/2024,215.6221771,218.9533217,212.7768147,217.0497975,51391200
7/26/2024,216.0881653,217.6050244,214.1548998,216.8218005,41601300
7/29/2024,216.3657227,217.4166168,213.8971018,215.0967167,36311800
7/30/2024,216.9209442,218.4378033,214.2639522,217.3075943,41643800
7/31/2024,220.1727448,221.8978068,218.7352006,219.5382418,50036300
8/1/2024,216.484726,222.5521626,215.1562375,222.4431067,62501000
8/2/2024,217.9718323,223.6625423,215.8403026,217.2679231,105568600
8/5/2024,207.4727783,211.6664465,194.3167378,197.380197,119548600
8/6/2024,205.4502869,208.1865934,199.343201,203.5368691,69660500
8/7/2024,208.0180664,211.8052523,204.6175155,205.1231301,63516400
8/8/2024,211.4780731,212.3604291,207.036552,211.2797938,47161100
8/9/2024,214.3829193,214.9182751,210.1495862,210.2784746,42201600
8/12/2024,215.9114532,217.8767167,213.9958208,214.4623249,38028100
8/13/2024,219.623642,220.239024,217.3804478,217.3804478,44155300
8/14/2024,220.0702972,221.3705478,218.0653228,218.9288599,41960600
8/15/2024,223.0479736,223.673291,221.1025503,222.9288713,46414000
8/16/2024,224.3680725,225.1422677,221.9859207,222.253916,44340200
8/19/2024,224.209259,224.308521,221.3804585,224.0405257,40687800
8/20/2024,224.824646,225.4797389,223.7725354,224.0901617,30299000
8/21/2024,224.7154694,226.2837152,223.3755231,224.8345868,34765500
8/22/2024,222.859375,226.6410241,222.2340577,226.0951134,43695300
8/23/2024,225.1521912,226.5219281,222.6608723,223.9809782,38677300
8/26/2024,225.4896545,225.5889165,222.2241405,225.0727814,30602200
8/27/2024,226.3333588,227.1472649,223.2167223,224.318464,35934600
8/28/2024,224.8047943,228.1497148,224.0008084,226.224147,38052200
8/29/2024,228.0802155,231.1869312,227.1769979,228.3879216,51906300
8/30/2024,227.2961273,228.6857046,225.7874326,228.4772756,52990800
9/3/2024,221.1124878,227.2961293,219.5243865,226.8494806,50190600
9/4/2024,219.2067719,220.1298449,215.861836,220.0107426,43840200
9/5/2024,220.7253876,223.802313,219.8717858,219.9809679,36615400
9/6/2024,219.177002,223.5641132,218.1348114,222.283703,48423000
9/9/2024,219.2663116,219.6236337,215.097565,219.1769849,67180000
9/10/2024,218.4722748,219.8320765,215.1174188,217.2911265,51591000
9/11/2024,221.0032959,221.4300892,216.268783,219.8122276,44587100
9/12/2024,221.1124878,221.886683,218.1844402,220.8444925,37455600
9/13/2024,220.8444824,222.3730173,220.258876,221.9164485,36766600
9/16/2024,214.7104645,215.6037619,212.3283127,214.9288136,59357400
